date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:07	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Fri,%2029%20Apr%202022%2002:40:07%20GMT	http://sites.google.com/mykusd.net/oml/home	C:/My%20Web%20Sites/gfjhytgj/sites.google.com/mykusd.net/oml/home.0.delayed	(from )
19:40:08	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2029%20Apr%202022%2002:40:08%20GMT	https://sites.google.com/mykusd.net/oml/home	C:/My%20Web%20Sites/gfjhytgj/sites.google.com/mykusd.net/oml/home.1.delayed	(from )
19:40:11	101427/101427	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2002:40:09%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/ServiceLogin7ea3.html	(from )
19:40:12	104/104	---MCZ	200	added ('OK')	text/plain	date:Fri,%2029%20Apr%202022%2002:40:12%20GMT	https://accounts.google.com/robots.txt		(from )
19:40:13	239/239	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/menu/checkmark.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/ui/v1/menu/checkmark.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:13	2551/2551	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/logo_1x.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/accounts/ui/logo_1x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:14	2449/2449	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_112x36dp.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_112x36dp.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:14	5274/5274	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/logo_2x.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/accounts/ui/logo_2x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:17	154/154	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	http://ssl.gstatic.com/ui/v1/icons/common/x_8px.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/ui/v1/icons/common/x_8px.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:17	10091/10091	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_230x17_2x.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/accounts/ui/wlogostrip_230x17_2x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
